# Units: Energy in GeV,  Length in mm,  Time in sec
#   Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
    56     gamma    22    1   36    0    0    0 -1.497E-1 -2.837E-1 -5.612E-1  6.464E-1       0E0       0E0       0E0       0E0       0E0
    57      pi^+   211    1   37    0    0    0  1.742E-1 -8.127E-1 -8.989E-1   1.232E0  1.396E-1       0E0       0E0       0E0       0E0
    58      pi^-  -211    1   37    0    0    0 -2.197E-1  -1.407E0  -2.273E0   2.685E0  1.396E-1       0E0       0E0       0E0       0E0
    59      pi^0   111    2   37    0   67   68 -8.729E-2  -1.123E0  -1.602E0   1.963E0   1.35E-1       0E0       0E0       0E0       0E0
    60      pi^+   211    1   39    0    0    0  6.955E-2  -1.388E0  -1.577E0   2.107E0  1.396E-1       0E0       0E0       0E0       0E0
    61      pi^-  -211    1   39    0    0    0 -2.139E-2   -1.96E0  -2.596E0   3.256E0  1.396E-1       0E0       0E0       0E0       0E0
    62      pi^0   111    2   39    0   69   70 -1.237E-1 -2.327E-1 -3.336E-1   4.46E-1   1.35E-1       0E0       0E0       0E0       0E0
    63      pi^+   211    1   41    0    0    0  6.955E-2  1.377E-1 -6.908E-1  7.214E-1  1.396E-1       0E0       0E0       0E0       0E0
    64      pi^0   111    2   41    0   71   72 -9.821E-1   1.31E-1 -7.915E-1   1.275E0   1.35E-1       0E0       0E0       0E0       0E0
    65     gamma    22    1   44    0    0    0  6.178E-1   1.161E0 -4.035E-1   1.376E0       0E0       0E0       0E0       0E0       0E0
    66     gamma    22    1   44    0    0    0  6.655E-2  2.514E-1 -8.612E-2   2.74E-1       0E0       0E0       0E0       0E0       0E0
    67     gamma    22    1   59    0    0    0 -5.264E-2  -1.062E0  -1.522E0   1.856E0       0E0       0E0       0E0       0E0       0E0
    68     gamma    22    1   59    0    0    0 -3.465E-2 -6.096E-2 -8.061E-2  1.068E-1       0E0       0E0       0E0       0E0       0E0
    69     gamma    22    1   62    0    0    0 -1.243E-1 -1.124E-1 -1.412E-1  2.191E-1       0E0       0E0       0E0       0E0       0E0
    70     gamma    22    1   62    0    0    0   5.97E-4 -1.203E-1 -1.924E-1  2.269E-1       0E0       0E0       0E0       0E0       0E0
    71     gamma    22    1   64    0    0    0 -5.525E-1  1.116E-1 -5.188E-1  7.661E-1       0E0       0E0       0E0       0E0       0E0
    72     gamma    22    1   64    0    0    0 -4.297E-1  1.939E-2 -2.727E-1  5.092E-1       0E0       0E0       0E0       0E0       0E0
#END
# Units: Energy in GeV,  Length in mm,  Time in sec
#    Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     1       e^+   -11    3    0    0    0    0       0E0       0E0    1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     2       e^-    11    3    0    0    0    0       0E0       0E0   -1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     3       e^+   -11    3    1    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     4       e^-    11    3    2    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     5       e^+   -11    3    3    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     6       e^-    11    3    4    0    0    0 -1.109E-3  -2.56E-4  -1.248E2   1.248E2       0E0       0E0       0E0       0E0       0E0
     7     nu_e~   -12    3    5    6    0    0   -4.64E1  -2.707E1  -3.265E0   5.382E1       0E0       0E0       0E0       0E0       0E0
     8      nu_e    12    3    5    6    0    0   5.338E1    2.79E0   -3.37E1   6.319E1       0E0       0E0       0E0       0E0       0E0
     9     H_1^0    25    3    5    6    0    0  -6.972E0   2.428E1   3.714E1   1.328E2    1.25E2       0E0       0E0       0E0       0E0
    10       Z^0    23    3    9    0    0    0  -8.057E0   1.642E1   1.732E1   4.529E1   3.763E1       0E0       0E0       0E0       0E0
    11       Z^0    23    3    9    0    0    0   1.085E0   7.857E0   1.981E1   8.753E1   8.489E1       0E0       0E0       0E0       0E0
    12       e^-    11    3   10    0    0    0   1.028E1   1.725E1   1.794E1   2.693E1    5.1E-4       0E0       0E0       0E0       0E0
    13       e^+   -11    3   10    0    0    0  -1.833E1 -8.292E-1 -6.193E-1   1.836E1    5.1E-4       0E0       0E0       0E0       0E0
    14       e^-    11    3   11    0    0    0   1.552E1  -1.811E1   4.345E1   4.957E1    5.1E-4       0E0       0E0       0E0       0E0
    15       e^+   -11    3   11    0    0    0  -1.444E1   2.596E1  -2.364E1   3.797E1    5.1E-4       0E0       0E0       0E0       0E0
    16     nu_e~   -12    1    7    0    0    0   -4.64E1  -2.707E1  -3.265E0   5.382E1       0E0       0E0       0E0       0E0       0E0
    17      nu_e    12    1    8    0    0    0   5.338E1    2.79E0   -3.37E1   6.319E1       0E0       0E0       0E0       0E0       0E0
    18     H_1^0    25    2    9    0   20   21  -6.972E0   2.428E1   3.714E1   1.328E2    1.25E2       0E0       0E0       0E0       0E0
    19     gamma    22    1    4    0    0    0  1.109E-3   2.56E-4 -1.705E-1  1.705E-1       0E0       0E0       0E0       0E0       0E0
    20       Z^0    23    2   10    0   24   28  -8.057E0   1.642E1   1.732E1   4.529E1   3.763E1       0E0       0E0       0E0       0E0
    21       Z^0    23    2   11    0   22   23   1.085E0   7.857E0   1.981E1   8.753E1   8.489E1       0E0       0E0       0E0       0E0
    22       e^-    11    1   14    0    0    0   1.552E1  -1.811E1   4.345E1   4.957E1    5.1E-4       0E0       0E0       0E0       0E0
    23       e^+   -11    1   15    0    0    0  -1.444E1   2.596E1  -2.364E1   3.797E1    5.1E-4       0E0       0E0       0E0       0E0
    24     gamma    22    1   12    0    0    0  1.226E-2  2.025E-2  2.158E-2  3.203E-2       0E0       0E0       0E0       0E0       0E0
    25       e^+   -11    1   13    0    0    0  -1.833E1 -8.292E-1 -6.193E-1   1.836E1    5.1E-4       0E0       0E0       0E0       0E0
    26     gamma    22    1   13    0    0    0   -1.4E-5     -3E-6      1E-6    1.5E-5       0E0       0E0       0E0       0E0       0E0
    27       e^-    11    1   12    0    0    0   1.026E1   1.723E1   1.792E1   2.689E1    5.1E-4       0E0       0E0       0E0       0E0
    28     gamma    22    1   12    0    0    0  1.654E-3  2.789E-3  2.887E-3  4.342E-3       0E0       0E0       0E0       0E0       0E0
    29     gamma    22    1    1    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    30     gamma    22    1    2    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
#END
# Units: Energy in GeV,  Length in mm,  Time in sec
#   Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     1       e^+   -11    3    0    0    0    0       0E0       0E0    1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     2       e^-    11    3    0    0    0    0       0E0       0E0   -1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     3       e^+   -11    3    1    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     4       e^-    11    3    2    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     5       e^+   -11    3    3    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     6       e^-    11    3    4    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     7     H_1^0    25    3    5    6    0    0  -5.244E1  -1.387E1   8.165E0   1.365E2    1.25E2       0E0       0E0       0E0       0E0
     8       Z^0    23    3    5    6    0    0   5.244E1   1.387E1  -8.165E0   1.135E2   9.936E1       0E0       0E0       0E0       0E0
     9       Z^0    23    3    7    0    0    0   -4.26E1   -8.83E0   1.162E1   1.072E2   9.733E1       0E0       0E0       0E0       0E0
    10       Z^0    23    3    7    0    0    0  -9.837E0  -5.037E0  -3.452E0   2.926E1   2.687E1       0E0       0E0       0E0       0E0
    11     tau^-    15    3    8    0    0    0   4.795E1  -3.206E1  -2.688E1   6.366E1   1.777E0       0E0       0E0       0E0       0E0
    12     tau^+   -15    3    8    0    0    0    4.49E0   4.593E1   1.872E1   4.983E1   1.777E0       0E0       0E0       0E0       0E0
    13      mu^-    13    3    9    0    0    0  -2.852E1   2.508E1   4.412E1   5.821E1  1.057E-1       0E0       0E0       0E0       0E0
    14      mu^+   -13    3    9    0    0    0  -1.408E1  -3.391E1   -3.25E1   4.903E1  1.057E-1       0E0       0E0       0E0       0E0
    15       e^-    11    3   10    0    0    0   7.995E0  -6.496E0  -4.704E0   1.132E1    5.1E-4       0E0       0E0       0E0       0E0
    16       e^+   -11    3   10    0    0    0  -1.783E1   1.459E0   1.252E0   1.794E1    5.1E-4       0E0       0E0       0E0       0E0
    17     H_1^0    25    2    7    0   20   21  -5.244E1  -1.387E1   8.165E0   1.365E2    1.25E2       0E0       0E0       0E0       0E0
    18       Z^0    23    2    8    0   22   24   5.244E1   1.387E1  -8.165E0   1.135E2   9.936E1       0E0       0E0       0E0       0E0
    19     gamma    22    1    4    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    20       Z^0    23    2    9    0   27   31   -4.26E1   -8.83E0   1.162E1   1.072E2   9.733E1       0E0       0E0       0E0       0E0
    21       Z^0    23    2   10    0   25   26  -9.837E0  -5.037E0  -3.452E0   2.926E1   2.687E1       0E0       0E0       0E0       0E0
    22     tau^-    15    2   11    0   34   36   4.793E1  -3.205E1  -2.687E1   6.364E1   1.777E0       0E0       0E0       0E0       0E0
    23     tau^+   -15    2   12    0   37   39   4.708E0    4.45E1   1.822E1   4.835E1   1.777E0       0E0       0E0       0E0       0E0
    24     gamma    22    1   12    0    0    0 -1.982E-1   1.417E0   4.85E-1   1.511E0       0E0       0E0       0E0       0E0       0E0
    25       e^-    11    1   15    0    0    0   7.995E0  -6.496E0  -4.704E0   1.132E1    5.1E-4       0E0       0E0       0E0       0E0
    26       e^+   -11    1   16    0    0    0  -1.783E1   1.459E0   1.252E0   1.794E1    5.1E-4       0E0       0E0       0E0       0E0
    27      mu^-    13    1   13    0    0    0  -2.849E1   2.505E1   4.408E1   5.816E1  1.057E-1       0E0       0E0       0E0       0E0
    28     gamma    22    1   13    0    0    0 -7.912E-3  6.952E-3  1.171E-2  1.575E-2       0E0       0E0       0E0       0E0       0E0
    29     gamma    22    1   14    0    0    0  3.875E-2 -1.768E-1 -3.867E-1  4.269E-1       0E0       0E0       0E0       0E0       0E0
    30      mu^+   -13    1   14    0    0    0  -1.413E1  -3.368E1  -3.203E1   4.858E1  1.057E-1       0E0       0E0       0E0       0E0
    31     gamma    22    1   14    0    0    0 -6.164E-3 -3.488E-2 -5.617E-2  6.641E-2       0E0       0E0       0E0       0E0       0E0
    32     gamma    22    1    1    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    33     gamma    22    1    2    0    0    0       0E0       0E0     -5E-6      5E-6       0E0       0E0       0E0       0E0       0E0
    34     nu_e~   -12    1   22    0    0    0   1.503E1  -1.011E1  -8.021E0   1.981E1       0E0      2E-4     -1E-4     -1E-4      2E-4
    35       e^-    11    1   22    0    0    0   1.799E1  -1.218E1  -1.105E1   2.438E1    5.1E-4      2E-4     -1E-4     -1E-4      2E-4
    36    nu_tau    16    1   22    0    0    0   1.491E1  -9.752E0  -7.796E0   1.945E1       0E0      2E-4     -1E-4     -1E-4      2E-4
    37   nu_tau~   -16    1   23    0    0    0   2.696E0   2.682E1   1.114E1   2.916E1       0E0       0E0      2E-4      1E-4      3E-4
    38 rho(770)^+  213    2   23    0   40   41   1.606E0   1.283E1   5.366E0   1.402E1  7.611E-1       0E0      2E-4      1E-4      3E-4
    39      pi^0   111    2   23    0   42   43  4.072E-1   4.845E0   1.712E0   5.156E0   1.35E-1       0E0      2E-4      1E-4      3E-4
    40      pi^+   211    1   38    0    0    0  9.101E-1   8.385E0   3.164E0    9.01E0  1.396E-1       0E0      2E-4      1E-4      3E-4
    41      pi^0   111    2   38    0   44   45  6.954E-1   4.449E0   2.202E0   5.014E0   1.35E-1       0E0      2E-4      1E-4      3E-4
    42     gamma    22    1   39    0    0    0  9.524E-2   1.353E0  4.166E-1   1.419E0       0E0       0E0      2E-4      1E-4      3E-4
    43     gamma    22    1   39    0    0    0  3.119E-1   3.492E0   1.296E0   3.738E0       0E0       0E0      2E-4      1E-4      3E-4
    44     gamma    22    1   41    0    0    0  4.803E-1   2.742E0   1.406E0   3.119E0       0E0       0E0      2E-4      1E-4      3E-4
    45     gamma    22    1   41    0    0    0  2.152E-1   1.707E0  7.954E-1   1.896E0       0E0       0E0      2E-4      1E-4      3E-4
#END
# Units: Energy in GeV,  Length in mm,  Time in sec
#    Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     1       e^+   -11    3    0    0    0    0       0E0       0E0    1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     2       e^-    11    3    0    0    0    0       0E0       0E0   -1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     3       e^+   -11    3    1    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     4       e^-    11    3    2    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     5       e^+   -11    3    3    0    0    0 -7.199E-2 -1.105E-3   1.248E2   1.248E2       0E0       0E0       0E0       0E0       0E0
     6       e^-    11    3    4    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     7     H_1^0    25    3    5    6    0    0  -3.637E1   1.251E0  -4.201E1   1.368E2    1.25E2       0E0       0E0       0E0       0E0
     8       Z^0    23    3    5    6    0    0    3.63E1  -1.252E0   4.184E1    1.13E2    9.85E1       0E0       0E0       0E0       0E0
     9       Z^0    23    3    7    0    0    0  -5.345E0  -2.262E1  -5.541E0   3.058E1   1.909E1       0E0       0E0       0E0       0E0
    10       Z^0    23    3    7    0    0    0  -3.102E1   2.387E1  -3.647E1   1.062E2   9.176E1       0E0       0E0       0E0       0E0
    11     tau^-    15    3    8    0    0    0   3.894E1  -3.934E1   4.922E1   7.409E1   1.777E0       0E0       0E0       0E0       0E0
    12     tau^+   -15    3    8    0    0    0  -2.641E0   3.808E1  -7.378E0   3.892E1   1.777E0       0E0       0E0       0E0       0E0
    13      mu^-    13    3    9    0    0    0  6.478E-2  -1.292E1  -1.208E1   1.769E1  1.057E-1       0E0       0E0       0E0       0E0
    14      mu^+   -13    3    9    0    0    0  -5.409E0  -9.705E0   6.543E0   1.289E1  1.057E-1       0E0       0E0       0E0       0E0
    15      mu^-    13    3   10    0    0    0  -3.782E1   1.332E0  -6.128E1   7.202E1  1.057E-1       0E0       0E0       0E0       0E0
    16      mu^+   -13    3   10    0    0    0     6.8E0   2.254E1    2.48E1    3.42E1  1.057E-1       0E0       0E0       0E0       0E0
    17     H_1^0    25    2    7    0   20   21  -3.637E1   1.251E0  -4.201E1   1.368E2    1.25E2       0E0       0E0       0E0       0E0
    18       Z^0    23    2    8    0   22   23    3.63E1  -1.252E0   4.184E1    1.13E2    9.85E1       0E0       0E0       0E0       0E0
    19     gamma    22    1    3    0    0    0  7.199E-2  1.105E-3   1.71E-1  1.855E-1       0E0       0E0       0E0       0E0       0E0
    20       Z^0    23    2    9    0   24   25  -5.345E0  -2.262E1  -5.541E0   3.058E1   1.909E1       0E0       0E0       0E0       0E0
    21       Z^0    23    2   10    0   26   27  -3.102E1   2.387E1  -3.647E1   1.062E2   9.176E1       0E0       0E0       0E0       0E0
    22     tau^-    15    2   11    0   30   31   3.894E1  -3.934E1   4.922E1   7.409E1   1.777E0       0E0       0E0       0E0       0E0
    23     tau^+   -15    2   12    0   32   33  -2.641E0   3.808E1  -7.378E0   3.892E1   1.777E0       0E0       0E0       0E0       0E0
    24      mu^-    13    1   13    0    0    0  6.478E-2  -1.292E1  -1.208E1   1.769E1  1.057E-1       0E0       0E0       0E0       0E0
    25      mu^+   -13    1   14    0    0    0  -5.409E0  -9.705E0   6.543E0   1.289E1  1.057E-1       0E0       0E0       0E0       0E0
    26      mu^-    13    1   15    0    0    0  -3.782E1   1.332E0  -6.128E1   7.202E1  1.057E-1       0E0       0E0       0E0       0E0
    27      mu^+   -13    1   16    0    0    0     6.8E0   2.254E1    2.48E1    3.42E1  1.057E-1       0E0       0E0       0E0       0E0
    28     gamma    22    1    1    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    29     gamma    22    1    2    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    30    nu_tau    16    1   22    0    0    0   3.208E1  -3.214E1    4.04E1   6.078E1       0E0      9E-4     -9E-4    1.2E-3    1.8E-3
    31 rho(770)^- -213    2   22    0   34   35   6.863E0  -7.199E0    8.82E0   1.331E1  7.239E-1      9E-4     -9E-4    1.2E-3    1.8E-3
    32   nu_tau~   -16    1   23    0    0    0  -1.63E-1    9.94E0   -2.35E0   1.022E1       0E0       0E0      1E-4       0E0      1E-4
    33 rho(770)^+  213    2   23    0   36   37  -2.478E0   2.814E1  -5.027E0   2.871E1  7.706E-1       0E0      1E-4       0E0      1E-4
    34      pi^-  -211    1   31    0    0    0   6.113E0  -6.158E0   7.544E0    1.15E1  1.396E-1      9E-4     -9E-4    1.2E-3    1.8E-3
    35      pi^0   111    2   31    0   38   39  7.503E-1  -1.041E0   1.276E0   1.815E0   1.35E-1      9E-4     -9E-4    1.2E-3    1.8E-3
    36      pi^+   211    1   33    0    0    0 -6.925E-1   4.925E0 -8.665E-1   5.051E0  1.396E-1       0E0      1E-4       0E0      1E-4
    37      pi^0   111    2   33    0   40   41  -1.785E0   2.322E1  -4.161E0   2.366E1   1.35E-1       0E0      1E-4       0E0      1E-4
    38     gamma    22    1   35    0    0    0  5.605E-2 -1.378E-1  1.141E-1  1.874E-1       0E0      9E-4     -9E-4    1.2E-3    1.8E-3
    39     gamma    22    1   35    0    0    0  6.943E-1 -9.034E-1   1.162E0   1.627E0       0E0      9E-4     -9E-4    1.2E-3    1.8E-3
    40     gamma    22    1   37    0    0    0 -3.204E-1    4.79E0 -8.846E-1   4.881E0       0E0       0E0      1E-4       0E0      1E-4
    41     gamma    22    1   37    0    0    0  -1.465E0   1.843E1  -3.276E0   1.878E1       0E0       0E0      1E-4       0E0      1E-4
#END
# Units: Energy in GeV,  Length in mm,  Time in sec
#   Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     1       e^+   -11    3    0    0    0    0       0E0       0E0    1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     2       e^-    11    3    0    0    0    0       0E0       0E0   -1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     3       e^+   -11    3    1    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     4       e^-    11    3    2    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     5       e^+   -11    3    3    0    0    0      2E-6    2.2E-5    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     6       e^-    11    3    4    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     7       Z^0    23    3    5    6    0    0   4.759E1  -2.279E1   3.276E1   1.104E2    9.13E1       0E0       0E0       0E0       0E0
     8     H_1^0    25    3    5    6    0    0  -4.759E1   2.279E1  -3.276E1   1.396E2    1.25E2       0E0       0E0       0E0       0E0
     9       e^-    11    3    7    0    0    0    5.55E1   1.523E0    5.38E1   7.731E1    5.1E-4       0E0       0E0       0E0       0E0
    10       e^+   -11    3    7    0    0    0  -7.903E0  -2.431E1  -2.104E1   3.311E1    5.1E-4       0E0       0E0       0E0       0E0
    11       Z^0    23    3    8    0    0    0   -3.54E0  -3.754E0  -6.013E0   3.199E1   3.099E1       0E0       0E0       0E0       0E0
    12       Z^0    23    3    8    0    0    0  -4.405E1   2.654E1  -2.675E1   1.076E2   9.064E1       0E0       0E0       0E0       0E0
    13       e^-    11    3   11    0    0    0  -6.489E0  -1.664E1   -5.73E0   1.876E1    5.1E-4       0E0       0E0       0E0       0E0
    14       e^+   -11    3   11    0    0    0    2.95E0   1.289E1 -2.836E-1   1.323E1    5.1E-4       0E0       0E0       0E0       0E0
    15      mu^-    13    3   12    0    0    0   4.575E0    2.94E1  -4.635E1   5.508E1  1.057E-1       0E0       0E0       0E0       0E0
    16      mu^+   -13    3   12    0    0    0  -4.863E1  -2.859E0   1.961E1   5.251E1  1.057E-1       0E0       0E0       0E0       0E0
    17       Z^0    23    2    7    0   22   26   4.759E1  -2.279E1   3.276E1   1.104E2    9.13E1       0E0       0E0       0E0       0E0
    18     H_1^0    25    2    8    0   20   21  -4.759E1   2.279E1  -3.276E1   1.396E2    1.25E2       0E0       0E0       0E0       0E0
    19     gamma    22    1    3    0    0    0     -2E-6   -2.2E-5   1.44E-3   1.44E-3       0E0       0E0       0E0       0E0       0E0
    20       Z^0    23    2   11    0   29   32   -3.54E0  -3.754E0  -6.013E0   3.199E1   3.099E1       0E0       0E0       0E0       0E0
    21       Z^0    23    2   12    0   27   28  -4.405E1   2.654E1  -2.675E1   1.076E2   9.064E1       0E0       0E0       0E0       0E0
    22       e^-    11    1    9    0    0    0    5.55E1   1.523E0    5.38E1   7.731E1    5.1E-4       0E0       0E0       0E0       0E0
    23     gamma    22    1    9    0    0    0       0E0       0E0      1E-6      1E-6       0E0       0E0       0E0       0E0       0E0
    24     gamma    22    1   10    0    0    0   -2.6E-5  -1.08E-4   -8.7E-5   1.42E-4       0E0       0E0       0E0       0E0       0E0
    25       e^+   -11    1   10    0    0    0  -7.889E0  -2.427E1    -2.1E1   3.305E1    5.1E-4       0E0       0E0       0E0       0E0
    26     gamma    22    1   10    0    0    0 -1.402E-2 -4.307E-2 -3.728E-2  5.866E-2       0E0       0E0       0E0       0E0       0E0
    27      mu^-    13    1   15    0    0    0   4.575E0    2.94E1  -4.635E1   5.508E1  1.057E-1       0E0       0E0       0E0       0E0
    28      mu^+   -13    1   16    0    0    0  -4.863E1  -2.859E0   1.961E1   5.251E1  1.057E-1       0E0       0E0       0E0       0E0
    29       e^+   -11    1   14    0    0    0    2.95E0   1.289E1 -2.836E-1   1.323E1    5.1E-4       0E0       0E0       0E0       0E0
    30     gamma    22    1   13    0    0    0  -2.51E-3  -6.43E-3 -2.214E-3  7.249E-3       0E0       0E0       0E0       0E0       0E0
    31       e^-    11    1   13    0    0    0  -6.487E0  -1.664E1  -5.727E0   1.875E1    5.1E-4       0E0       0E0       0E0       0E0
    32     gamma    22    1   13    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    33     gamma    22    1    1    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    34     gamma    22    1    2    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
#END
# Units: Energy in GeV,  Length in mm,  Time in sec
#   Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     1       e^+   -11    3    0    0    0    0       0E0       0E0    1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     2       e^-    11    3    0    0    0    0       0E0       0E0   -1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     3       e^+   -11    3    1    0    0    0       0E0       0E0    1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     4       e^-    11    3    2    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     5       e^+   -11    3    3    0    0    0   1.419E1  -1.427E1    1.17E1   2.327E1       0E0       0E0       0E0       0E0       0E0
     6       e^-    11    3    4    0    0    0       0E0       0E0  -1.183E2   1.183E2       0E0       0E0       0E0       0E0       0E0
     7       Z^0    23    3    5    6    0    0   1.419E1  -1.427E1  -1.066E2   1.415E2   9.095E1       0E0       0E0       0E0       0E0
     8         b     5    3    7    0    0    0    3.42E1  -2.905E1  -1.663E1    4.81E1     4.8E0       0E0       0E0       0E0       0E0
     9        b~    -5    3    7    0    0    0  -2.001E1   1.479E1  -8.993E1   9.344E1     4.8E0       0E0       0E0       0E0       0E0
    10       Z^0    23    2    7    0   15   21   1.419E1  -1.427E1  -1.066E2   1.415E2   9.095E1       0E0       0E0       0E0       0E0
    11     gamma    22    1    3    0    0    0  -1.419E1   1.427E1   1.053E2   1.072E2       0E0       0E0       0E0       0E0       0E0
    12     gamma    22    1    3    0    0    0  -9.96E-4    3.1E-4   1.249E0   1.249E0       0E0       0E0       0E0       0E0       0E0
    13     gamma    22    1    1    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    14     gamma    22    1    2    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    15         b     5    2    8    0   22   22   3.248E1  -2.452E1  -1.364E1   4.319E1     4.8E0       0E0       0E0       0E0       0E0
    16         g    21    2    8    0   22   22 -3.795E-2 -1.215E-1  5.688E-2  1.394E-1       0E0       0E0       0E0       0E0       0E0
    17         g    21    2    8    0   22   22  3.427E-1  -3.102E0   -4.44E0   5.427E0       0E0       0E0       0E0       0E0       0E0
    18         g    21    2    8    0   22   22  5.946E-1 -6.649E-1 -5.516E-1   1.049E0       0E0       0E0       0E0       0E0       0E0
    19         g    21    2    9    0   22   22  6.735E-1  1.313E-1  -1.418E0   1.575E0       0E0       0E0       0E0       0E0       0E0
    20         g    21    2    9    0   22   22  6.614E-2 -1.384E-1  -1.742E0   1.749E0       0E0       0E0       0E0       0E0       0E0
    21        b~    -5    2    9    0   22   22  -1.993E1   1.415E1  -8.483E1   8.841E1     4.8E0       0E0       0E0       0E0       0E0
    22 generator-   92    2   15   21   23   31   1.419E1  -1.427E1  -1.066E2   1.415E2   9.095E1       0E0       0E0       0E0       0E0
    23       B^-  -521    2   22    0   32   37   1.969E1  -1.571E1  -8.788E0    2.72E1   5.279E0       0E0       0E0       0E0       0E0
    24 rho(770)^0  113    2   22    0   38   39   1.034E0 -4.448E-1 -5.857E-1   1.331E0  4.035E-1       0E0       0E0       0E0       0E0
    25       eta   221    2   22    0   40   41   5.856E0   -5.28E0  -2.181E0   8.199E0  5.474E-1       0E0       0E0       0E0       0E0
    26      pi^0   111    2   22    0   42   43   4.651E0  -2.764E0   -3.01E0   6.193E0   1.35E-1       0E0       0E0       0E0       0E0
    27 rho(770)^0  113    2   22    0   44   45   1.663E0  -1.612E0 -9.449E-1   2.646E0  8.624E-1       0E0       0E0       0E0       0E0
    28 rho(770)^+  213    2   22    0   46   47   7.08E-1  -1.984E0  -1.666E0   2.771E0   6.81E-1       0E0       0E0       0E0       0E0
    29       n^0  2112    1   22    0    0    0  2.218E-2 -8.707E-1  -3.358E0   3.594E0  9.396E-1       0E0       0E0       0E0       0E0
    30      p~^- -2212    1   22    0    0    0  -1.756E0   1.754E0  -1.052E1   1.085E1  9.383E-1       0E0       0E0       0E0       0E0
    31      B*^+   523    2   22    0   48   49  -1.768E1   1.264E1  -7.551E1   7.875E1   5.325E0       0E0       0E0       0E0       0E0
    32 D*(2007)^0  423    2   23    0   50   51   6.355E0  -6.691E0  -3.703E0   1.014E1   2.007E0      1E-4     -1E-4       0E0      2E-4
    33      pi^-  -211    1   23    0    0    0   2.905E0  -1.909E0   -1.52E0   3.796E0  1.396E-1      1E-4     -1E-4       0E0      2E-4
    34      pi^+   211    1   23    0    0    0   1.267E0  -1.052E0  -3.99E-1     1.7E0  1.396E-1      1E-4     -1E-4       0E0      2E-4
