# Units: Energy in GeV,  Length in mm,  Time in sec
#   Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
    30 K*(892)^0   313    2   24    0   44   45 -9.499E-1  -1.147E0 -1.858E-1   1.756E0  9.122E-1       0E0       0E0       0E0       0E0
    31 rho(770)^0  113    2   24    0   46   47  -2.133E0  -1.052E0  -8.24E-1   2.641E0  8.005E-1       0E0       0E0       0E0       0E0
    32      K~^0  -311    2   24    0   48   48  7.385E-2 -1.473E-1 -2.706E-1  5.899E-1  4.977E-1       0E0       0E0       0E0       0E0
    33 K*(892)^0   313    2   24    0   49   50   1.501E0  1.448E-1  -1.619E0   2.411E0  9.593E-1       0E0       0E0       0E0       0E0
    34 rho(770)^+  213    2   24    0   51   52  6.233E-1  4.104E-1   -1.22E0   1.621E0  7.626E-1       0E0       0E0       0E0       0E0
    35       K^-  -321    1   24    0    0    0   2.759E0  5.801E-2  -4.231E0   5.076E0  4.936E-1       0E0       0E0       0E0       0E0
    36       K^+   321    1   24    0    0    0   4.673E0    3.67E0  -1.057E1   1.213E1  4.936E-1       0E0       0E0       0E0       0E0
    37 D*(2007)^0  423    2   24    0   53   54   2.181E1   1.347E1  -4.754E1   5.405E1   2.007E0       0E0       0E0       0E0       0E0
    38       K^0   311    2   25    0   55   55  -9.374E0  -4.888E0  5.108E-1    1.06E1  4.977E-1     -3E-4     -1E-4       0E0      4E-4
    39      pi^-  -211    1   25    0    0    0  -2.156E0  -1.156E0  3.762E-2    2.45E0  1.396E-1     -3E-4     -1E-4       0E0      4E-4
    40      pi^+   211    1   25    0    0    0   -5.19E0  -2.215E0  3.299E-2   5.645E0  1.396E-1     -3E-4     -1E-4       0E0      4E-4
    41      pi^0   111    2   25    0   56   57   -1.38E0 -6.064E-1  1.472E-1   1.521E0   1.35E-1     -3E-4     -1E-4       0E0      4E-4
    42      pi^0   111    2   25    0   58   59  -1.95E-1 -1.459E-1   4.28E-2  2.817E-1   1.35E-1     -3E-4     -1E-4       0E0      4E-4
    43     K_S^0   310    1   29    0    0    0  -1.463E0 -3.187E-1  1.976E-2   1.578E0  4.977E-1       0E0       0E0       0E0       0E0
    44       K^0   311    2   30    0   60   60 -3.795E-1 -8.331E-1  6.868E-2   1.044E0  4.977E-1       0E0       0E0       0E0       0E0
    45      pi^0   111    2   30    0   61   62 -5.704E-1 -3.136E-1 -2.545E-1  7.118E-1   1.35E-1       0E0       0E0       0E0       0E0
    46      pi^-  -211    1   31    0    0    0  -1.673E0 -4.481E-1 -5.767E-1   1.831E0  1.396E-1       0E0       0E0       0E0       0E0
    47      pi^+   211    1   31    0    0    0 -4.603E-1 -6.039E-1 -2.473E-1  8.107E-1  1.396E-1       0E0       0E0       0E0       0E0
    48     K_L^0   130    1   32    0    0    0  7.385E-2 -1.473E-1 -2.706E-1  5.899E-1  4.977E-1       0E0       0E0       0E0       0E0
    49       K^0   311    2   33    0   63   63   1.004E0  3.053E-1  -1.425E0   1.838E0  4.977E-1       0E0       0E0       0E0       0E0
    50      pi^0   111    2   33    0   64   65  4.966E-1 -1.604E-1 -1.937E-1  5.728E-1   1.35E-1       0E0       0E0       0E0       0E0
    51      pi^+   211    1   34    0    0    0 -1.376E-1  1.545E-1 -2.339E-1   3.42E-1  1.396E-1       0E0       0E0       0E0       0E0
    52      pi^0   111    2   34    0   66   67  7.609E-1  2.559E-1 -9.866E-1   1.279E0   1.35E-1       0E0       0E0       0E0       0E0
    53       D^0   421    2   37    0   68   70    2.04E1    1.26E1  -4.418E1    5.03E1   1.864E0       0E0       0E0       0E0       0E0
    54     gamma    22    1   37    0    0    0    1.41E0  8.673E-1  -3.358E0   3.744E0       0E0       0E0       0E0       0E0       0E0
    55     K_L^0   130    1   38    0    0    0  -9.374E0  -4.888E0  5.108E-1    1.06E1  4.977E-1     -3E-4     -1E-4       0E0      4E-4
    56     gamma    22    1   41    0    0    0  -1.23E-1 -9.361E-2 -3.606E-3  1.547E-1       0E0     -3E-4     -1E-4       0E0      4E-4
    57     gamma    22    1   41    0    0    0  -1.257E0 -5.128E-1  1.509E-1   1.366E0       0E0     -3E-4     -1E-4       0E0      4E-4
    58     gamma    22    1   42    0    0    0 -1.263E-1 -1.293E-1 -2.655E-2  1.827E-1       0E0     -3E-4     -1E-4       0E0      4E-4
    59     gamma    22    1   42    0    0    0 -6.871E-2 -1.658E-2  6.936E-2  9.902E-2       0E0     -3E-4     -1E-4       0E0      4E-4
    60     K_S^0   310    1   44    0    0    0 -3.795E-1 -8.331E-1  6.868E-2   1.044E0  4.977E-1       0E0       0E0       0E0       0E0
    61     gamma    22    1   45    0    0    0 -2.356E-1 -2.056E-1 -1.298E-1  3.386E-1       0E0       0E0       0E0       0E0       0E0
    62     gamma    22    1   45    0    0    0 -3.348E-1 -1.079E-1 -1.247E-1  3.732E-1       0E0       0E0       0E0       0E0       0E0
    63     K_S^0   310    1   49    0    0    0   1.004E0  3.053E-1  -1.425E0   1.838E0  4.977E-1       0E0       0E0       0E0       0E0
    64     gamma    22    1   50    0    0    0  4.373E-1 -1.596E-1 -2.109E-1   5.11E-1       0E0       0E0       0E0       0E0       0E0
    65     gamma    22    1   50    0    0    0  5.934E-2  -8.57E-4  1.717E-2  6.178E-2       0E0       0E0       0E0       0E0       0E0
    66     gamma    22    1   52    0    0    0    2.4E-1  1.685E-2 -2.754E-1  3.657E-1       0E0       0E0       0E0       0E0       0E0
    67     gamma    22    1   52    0    0    0  5.209E-1  2.391E-1 -7.112E-1  9.134E-1       0E0       0E0       0E0       0E0       0E0
    68      mu^+   -13    1   53    0    0    0   7.051E0   4.842E0  -1.587E1   1.803E1  1.057E-1      3E-4      2E-4     -8E-4      9E-4
    69     nu_mu    14    1   53    0    0    0   8.175E0   4.228E0  -1.629E1   1.871E1       0E0      3E-4      2E-4     -8E-4      9E-4
    70       K^-  -321    1   53    0    0    0   5.172E0   3.533E0  -1.201E1   1.356E1  4.936E-1      3E-4      2E-4     -8E-4      9E-4
#END
# Units: Energy in GeV,  Length in mm,  Time in sec
#    Nr      Name   PID Stat   M1   M2   D1   D2        Px        Py        Pz         E      Mass         X         Y         Z         T
     1       e^+   -11    3    0    0    0    0       0E0       0E0    1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     2       e^-    11    3    0    0    0    0       0E0       0E0   -1.25E2    1.25E2    5.1E-4       0E0       0E0       0E0       0E0
     3       e^+   -11    3    1    0    0    0       0E0       0E0  5.211E-1  5.211E-1       0E0       0E0       0E0       0E0       0E0
     4       e^-    11    3    2    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     5       e^+   -11    3    3    0    0    0       0E0       0E0  5.211E-1  5.211E-1       0E0       0E0       0E0       0E0       0E0
     6       e^-    11    3    4    0    0    0       0E0       0E0   -1.25E2    1.25E2       0E0       0E0       0E0       0E0       0E0
     7       Z^0    23    3    5    6    0    0       0E0       0E0  -1.245E2   1.255E2   1.614E1       0E0       0E0       0E0       0E0
     8         u     2    3    7    0    0    0  -2.259E0   7.725E0  -6.612E1   6.661E1    3.3E-1       0E0       0E0       0E0       0E0
     9        u~    -2    3    7    0    0    0   2.259E0  -7.725E0  -5.836E1   5.891E1    3.3E-1       0E0       0E0       0E0       0E0
    10       Z^0    23    2    7    0   13   19       0E0       0E0  -1.245E2   1.255E2   1.614E1       0E0       0E0       0E0       0E0
    11     gamma    22    1    1    0    0    0       0E0       0E0   1.245E2   1.245E2       0E0       0E0       0E0       0E0       0E0
    12     gamma    22    1    2    0    0    0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0       0E0
    13         u     2    2    8    0   20   20  -1.717E0   5.873E0   -5.03E1   5.067E1    3.3E-1       0E0       0E0       0E0       0E0
    14         g    21    2    9    0   20   20 -1.158E-1  9.984E-2 -4.265E-1  4.531E-1       0E0       0E0       0E0       0E0       0E0
    15         g    21    2    9    0   20   20 -9.049E-2  4.967E-1 -7.131E-1  8.737E-1       0E0       0E0       0E0       0E0       0E0
    16         g    21    2    9    0   20   20 -4.169E-1   1.45E-1  -1.909E0   1.959E0       0E0       0E0       0E0       0E0       0E0
    17         g    21    2    9    0   20   20   -3.4E-1  -1.434E0  -6.812E0    6.97E0       0E0       0E0       0E0       0E0       0E0
    18         g    21    2    9    0   20   20   1.693E0  -3.123E0  -3.313E1   3.332E1       0E0       0E0       0E0       0E0       0E0
    19        u~    -2    2    9    0   20   20  9.879E-1  -2.057E0  -3.119E1   3.127E1    3.3E-1       0E0       0E0       0E0       0E0
    20 generator-   92    2   13   19   21   29       0E0       0E0  -1.245E2   1.255E2   1.614E1       0E0       0E0       0E0       0E0
    21       p^+  2212    1   20    0    0    0 -8.736E-1   1.312E0  -1.125E1    1.14E1  9.383E-1       0E0       0E0       0E0       0E0
    22      p~^- -2212    1   20    0    0    0 -8.714E-1   2.665E0   -1.89E1   1.913E1  9.383E-1       0E0       0E0       0E0       0E0
    23   Delta^0  2114    2   20    0   30   31  1.926E-2   1.192E0  -2.007E1   2.015E1    1.31E0       0E0       0E0       0E0       0E0
    24      pi^+   211    1   20    0    0    0 -1.742E-2  3.624E-1  -4.473E0    4.49E0  1.396E-1       0E0       0E0       0E0       0E0
    25      n~^0 -2112    1   20    0    0    0 -3.867E-1 -6.464E-2  -2.427E0   2.632E0  9.396E-1       0E0       0E0       0E0       0E0
    26      pi^-  -211    1   20    0    0    0 -8.149E-2  2.437E-1  -1.066E0   1.105E0  1.396E-1       0E0       0E0       0E0       0E0
    27 eta'(958)   331    2   20    0   32   34  3.482E-1  -2.512E0  -2.758E1   2.772E1  9.575E-1       0E0       0E0       0E0       0E0
    28      pi^0   111    2   20    0   35   36  5.012E-1 -9.916E-1  -1.369E1   1.373E1   1.35E-1       0E0       0E0       0E0       0E0
    29 omega(782)  223    2   20    0   37   38   1.362E0  -2.206E0  -2.502E1   2.516E1   7.81E-1       0E0       0E0       0E0       0E0
    30       p^+  2212    1   23    0    0    0  1.166E-1  8.531E-1  -1.163E1    1.17E1  9.383E-1       0E0       0E0       0E0       0E0
    31      pi^-  -211    1   23    0    0    0 -9.732E-2  3.387E-1   -8.44E0   8.449E0  1.396E-1       0E0       0E0       0E0       0E0
    32      pi^-  -211    1   27    0    0    0  1.004E-1 -1.882E-1  -2.201E0   2.215E0  1.396E-1       0E0       0E0       0E0       0E0
    33      pi^+   211    1   27    0    0    0  8.551E-2 -9.519E-1  -9.834E0   9.881E0  1.396E-1       0E0       0E0       0E0       0E0
